id,lat,lon
108009619,-12.0989508,-77.0508474
108009621,-12.0989277,-77.0506268
108009622,-12.0988838,-77.0501075
108009631,-12.098934,-77.046936
108009632,-12.0991393,-77.0458625
108009633,-12.0993494,-77.0447838
108009634,-12.099543,-77.0437188
108009635,-12.099688,-77.042953
108009636,-12.1001407,-77.0404726
108009637,-12.1005621,-77.0382752
108009638,-12.1007613,-77.0380757
108013931,-12.0998589,-77.0377927
108013935,-12.1034834,-77.0387335
108013938,-12.1046002,-77.038961
108013939,-12.1048554,-77.0389904
108013940,-12.1056627,-77.0390943
108015861,-12.1068858,-77.034211
108015863,-12.105838,-77.0334054
108015864,-12.1046703,-77.0325061
108016282,-12.1032755,-77.03048
108016283,-12.1034486,-77.0315185
108018046,-12.1035564,-77.0315022
108018049,-12.1033908,-77.0304618
108018054,-12.1029558,-77.0276376
108018055,-12.1028717,-77.0270455
108018057,-12.1027107,-77.0255206
108019293,-12.1023749,-77.0234771
108019295,-12.1025843,-77.0255078
108019300,-12.1027286,-77.0270229
108019302,-12.1028209,-77.0276152
108024265,-12.1083987,-77.0265706
108024270,-12.1094991,-77.0264293
108025624,-12.1070413,-77.0267452
108029278,-12.101129,-77.0357991
108029280,-12.1010151,-77.0367955
108029282,-12.1009416,-77.0373763
108029613,-12.1016667,-77.0358603
108029615,-12.1015413,-77.0368384
108029955,-12.1020256,-77.0367679
108029956,-12.1019185,-77.0375008
108030818,-12.1008315,-77.0380995
108030823,-12.1018051,-77.0384051
108031454,-12.1025253,-77.0368386
108031677,-12.1030301,-77.0369056
108031679,-12.1029277,-77.0376396
108035139,-12.1028096,-77.038545
108037776,-12.1000434,-77.0364995
108037777,-12.0999488,-77.0372414
108037782,-12.0992085,-77.0397426
108037783,-12.0991766,-77.0398734
108037786,-12.0987201,-77.0418654
108037789,-12.0986916,-77.041982
108037790,-12.0983325,-77.0434869
108037792,-12.0981341,-77.0445689
108037794,-12.0979384,-77.0456298
108041406,-12.0996185,-77.0333645
108041409,-12.099607,-77.0334087
108041414,-12.0993187,-77.0344881
108041417,-12.0990507,-77.0363657
108041423,-12.0987359,-77.0380605
108041425,-12.0984298,-77.0392012
108041426,-12.0983937,-77.0393063
108041427,-12.0981461,-77.0402247
108041430,-12.0978671,-77.0412972
108041432,-12.0978424,-77.0413948
108041433,-12.0977018,-77.0421868
108041436,-12.0975407,-77.0433569
108041437,-12.0977023,-77.0444898
108041440,-12.0978617,-77.0456238
108041441,-12.0980361,-77.0467792
108041442,-12.0981717,-77.0478823
108041602,-12.0998335,-77.0331063
108041912,-12.0982004,-77.0331734
108042189,-12.1008814,-77.0331517
108042533,-12.0996997,-77.0323134
108043462,-12.0980285,-77.0293375
108043475,-12.098451,-77.0296336
108043490,-12.0983515,-77.0289196
108056663,-12.0991946,-77.0291566
108056664,-12.0992755,-77.029675
108056665,-12.0993544,-77.0301834
108056667,-12.0994315,-77.0306414
108056668,-12.0995093,-77.0311283
108056669,-12.0996742,-77.0321574
108064557,-12.1007046,-77.0319878
108064561,-12.0988616,-77.0322931
108064562,-12.0980718,-77.0324207
108064564,-12.097052,-77.0325634
108064570,-12.096174,-77.0326916
108064572,-12.0955384,-77.0327893
108064581,-12.0945815,-77.0329248
108064590,-12.0906866,-77.0335092
108064592,-12.0906219,-77.0335188
108064601,-12.0897851,-77.0336272
108170873,-12.104541,-77.0314969
108170876,-12.105597,-77.0313189
108170878,-12.1066639,-77.0311326
108170879,-12.1077457,-77.030951
108170880,-12.1088013,-77.0307637
